gps_start,analysis_start,detector,pad_s,score,stored_pad4_score,pad4_anchor_abs_delta,fixed_pad4_threshold_class,pad_specific_threshold_class,pad_specific_ci_lower,pad_specific_ci_upper,representation
1386205980,1386205984.0,H1,4.0,0.12983067333698273,0.1298306137323379,5.960464483090178e-08,BACKGROUND,BACKGROUND,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1386205980,1386205984.0,H1,16.0,0.12240131944417953,0.1298306137323379,,BACKGROUND,BACKGROUND,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1386205980,1386205984.0,H1,64.0,0.12278029322624207,0.1298306137323379,,BACKGROUND,BACKGROUND,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1386205980,1386205984.0,H1,128.0,0.12616503238677979,0.1298306137323379,,BACKGROUND,BACKGROUND,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1384131516,1384131520.0,H1,4.0,0.12981827557086945,0.1298185586929321,2.831220626553499e-07,BACKGROUND,BACKGROUND,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1384131516,1384131520.0,H1,16.0,0.1435854285955429,0.1298185586929321,,AMBIGUOUS,AMBIGUOUS,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1384131516,1384131520.0,H1,64.0,0.07527594268321991,0.1298185586929321,,BACKGROUND,BACKGROUND,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1384131516,1384131520.0,H1,128.0,0.07131059467792511,0.1298185586929321,,BACKGROUND,BACKGROUND,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1370480540,1370480544.0,H1,4.0,0.12971912324428558,0.1297189146280288,2.0861625679713391e-07,BACKGROUND,BACKGROUND,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1370480540,1370480544.0,H1,16.0,0.05714034661650658,0.1297189146280288,,BACKGROUND,BACKGROUND,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1370480540,1370480544.0,H1,64.0,0.05798651650547981,0.1297189146280288,,BACKGROUND,BACKGROUND,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1370480540,1370480544.0,H1,128.0,0.059386562556028366,0.1297189146280288,,BACKGROUND,BACKGROUND,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1382535324,1382535328.0,H1,4.0,0.12957097589969635,0.1295707672834396,2.0861625674162276e-07,BACKGROUND,BACKGROUND,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1382535324,1382535328.0,H1,16.0,0.059392355382442474,0.1295707672834396,,BACKGROUND,BACKGROUND,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
