selection_ordinal,gps_start,gps_end,source_path,source_start,source_end,detector,run,calibration_score,bootstrap_block_index,sampling_strategy
115,1371426436.0,1371426468.0,E:\o4a\1371046912\H1_1371423744_1371427840.hdf5,1371423744.0,1371427840.0,H1,O4a,0.056423258036375,32,run_spanning_complete_raw_blocks_within_block_even_spacing
116,1371426564.0,1371426596.0,E:\o4a\1371046912\H1_1371423744_1371427840.hdf5,1371423744.0,1371427840.0,H1,O4a,0.0612649358808994,32,run_spanning_complete_raw_blocks_within_block_even_spacing
117,1371426692.0,1371426724.0,E:\o4a\1371046912\H1_1371423744_1371427840.hdf5,1371423744.0,1371427840.0,H1,O4a,0.0624328516423702,32,run_spanning_complete_raw_blocks_within_block_even_spacing
118,1371426820.0,1371426852.0,E:\o4a\1371046912\H1_1371423744_1371427840.hdf5,1371423744.0,1371427840.0,H1,O4a,0.0820048823952674,32,run_spanning_complete_raw_blocks_within_block_even_spacing
119,1371426948.0,1371426980.0,E:\o4a\1371046912\H1_1371423744_1371427840.hdf5,1371423744.0,1371427840.0,H1,O4a,0.0745511427521705,32,run_spanning_complete_raw_blocks_within_block_even_spacing
120,1371669892.0,1371669924.0,E:\o4a\1371565312\H1_1371667712_1371671808.hdf5,1371667712.0,1371671808.0,H1,O4a,0.1236416324973106,37,run_spanning_complete_raw_blocks_within_block_even_spacing
121,1371669956.0,1371669988.0,E:\o4a\1371565312\H1_1371667712_1371671808.hdf5,1371667712.0,1371671808.0,H1,O4a,0.0849198773503303,37,run_spanning_complete_raw_blocks_within_block_even_spacing
122,1371670084.0,1371670116.0,E:\o4a\1371565312\H1_1371667712_1371671808.hdf5,1371667712.0,1371671808.0,H1,O4a,0.0646626129746437,37,run_spanning_complete_raw_blocks_within_block_even_spacing
123,1371670212.0,1371670244.0,E:\o4a\1371565312\H1_1371667712_1371671808.hdf5,1371667712.0,1371671808.0,H1,O4a,0.0830126106739044,37,run_spanning_complete_raw_blocks_within_block_even_spacing
124,1371670340.0,1371670372.0,E:\o4a\1371565312\H1_1371667712_1371671808.hdf5,1371667712.0,1371671808.0,H1,O4a,0.0614485256373882,37,run_spanning_complete_raw_blocks_within_block_even_spacing
125,1371670404.0,1371670436.0,E:\o4a\1371565312\H1_1371667712_1371671808.hdf5,1371667712.0,1371671808.0,H1,O4a,0.0565937757492065,37,run_spanning_complete_raw_blocks_within_block_even_spacing
126,1371670532.0,1371670564.0,E:\o4a\1371565312\H1_1371667712_1371671808.hdf5,1371667712.0,1371671808.0,H1,O4a,0.0691968277096748,37,run_spanning_complete_raw_blocks_within_block_even_spacing
127,1371670660.0,1371670692.0,E:\o4a\1371565312\H1_1371667712_1371671808.hdf5,1371667712.0,1371671808.0,H1,O4a,0.0580638609826564,37,run_spanning_complete_raw_blocks_within_block_even_spacing
128,1371670788.0,1371670820.0,E:\o4a\1371565312\H1_1371667712_1371671808.hdf5,1371667712.0,1371671808.0,H1,O4a,0.0967091545462608,37,run_spanning_complete_raw_blocks_within_block_even_spacing
129,1371670916.0,1371670948.0,E:\o4a\1371565312\H1_1371667712_1371671808.hdf5,1371667712.0,1371671808.0,H1,O4a,0.0665770918130874,37,run_spanning_complete_raw_blocks_within_block_even_spacing
